target_name,repeat,split_seed,model,n_test,n_positive,n_negative,observed_prevalence,performance_prevalence,zedstat_auc,zedstat_auc_ci_low,zedstat_auc_ci_high,brier_score,calibration_intercept,calibration_slope,expected_calibration_error,max_calibration_error,mean_predicted_risk,observed_to_expected_ratio,sklearn_auc_check,auc_zedstat_minus_sklearn
NON FIBROTIC ILA ADJUDICATED,9,471706405,zebra,7695,44,7651,0.005717998700454841,0.005717998700454841,0.8370795241935484,0.7633534560438134,0.9108055923432833,0.4124959518230038,-5.519817964855686,0.12633800434881065,0.5820369140828295,0.9638158743080998,0.5877549127832844,0.009728542588232126,0.8369969463290599,8.25778644885089e-05
NON FIBROTIC ILA ADJUDICATED,9,471706405,genomic,7695,44,7651,0.005717998700454841,0.005717998700454841,0.5003363359811258,0.41477044636721594,0.5859022255950357,0.08389369793006138,-5.2201034884942725,-0.002691051899192281,0.08372580928295012,0.7847663667951964,0.07904744670985073,0.07233628584416094,0.5003371514121742,-8.15431048351023e-07
NON FIBROTIC ILA ADJUDICATED,9,471706405,combined,7695,44,7651,0.005717998700454841,0.005717998700454841,0.7341640227272728,0.6491051266103977,0.8192229188441479,0.012192927370234178,-3.2416491245350065,0.6174007150954458,0.046589218121678336,0.20910978175528122,0.05230721682213317,0.10931567473563875,0.7341434868882262,2.053583904659817e-05
NON FIBROTIC ILA ADJUDICATED,10,1958691181,zebra,7695,44,7651,0.005717998700454841,0.005717998700454841,0.8217258013833992,0.745694073283611,0.8977575294831874,0.41279252967469443,-5.60723871362261,0.1352528133761061,0.5828763318258546,0.9650504162124233,0.5885943305263095,0.009714668327406278,0.8216572996993857,6.850168401351109e-05
NON FIBROTIC ILA ADJUDICATED,10,1958691181,genomic,7695,44,7651,0.005717998700454841,0.005717998700454841,0.5460940227272728,0.45843796809465226,0.6337500773598933,0.023937944798837207,-4.906659564713694,0.010267354426051083,0.02391240124425364,0.19091679363087255,0.020013766681872904,0.2857032757173997,0.5460961728116348,-2.1500843619959298e-06
NON FIBROTIC ILA ADJUDICATED,10,1958691181,combined,7695,44,7651,0.005717998700454841,0.005717998700454841,0.7418802045454546,0.6573752281140051,0.826385180976904,0.012981951723539957,-3.1724630258040367,0.7033722790405098,0.05576674161686392,0.2071890519516377,0.06148474031731877,0.09299866391147818,0.7417984577179454,8.174682750916595e-05
NON FIBROTIC ILA ADJUDICATED,11,311969396,zebra,7695,44,7651,0.005717998700454841,0.005717998700454841,0.8245624090909092,0.7489376012078881,0.9001872169739302,0.4130645048373842,-5.6001159547409465,0.1368586646887373,0.5825062998246211,0.9706820762521853,0.5882242985250759,0.00972077949651562,0.8245178883330758,4.452075783334397e-05
NON FIBROTIC ILA ADJUDICATED,11,311969396,genomic,7695,44,7651,0.005717998700454841,0.005717998700454841,0.43618718181818183,0.3551535760251634,0.5172207876112003,0.009529095074322605,-5.995198593269892,-0.2227054474949271,0.03519827174157686,0.15579012942422463,0.0409162704420317,0.13974877569928668,0.4361491664785352,3.8015339646646495e-05
NON FIBROTIC ILA ADJUDICATED,11,311969396,combined,7695,44,7651,0.005717998700454841,0.005717998700454841,0.7043559318181818,0.6175336236346913,0.7911782400016723,0.026105545114741596,-3.98244290984146,0.3957948295053943,0.07115024354133757,0.39285949880813714,0.07686824224179241,0.07438700994968282,0.7043286082627346,2.7323555447211767e-05
NON FIBROTIC ILA ADJUDICATED,12,425883930,zebra,7695,44,7651,0.005717998700454841,0.005717998700454841,0.7867745103305784,0.706370211655445,0.8671788090057119,0.41318543355162496,-5.578637399173771,0.13283973803893506,0.5826759965744648,0.9730004089311124,0.5883939952749195,0.009717975958920485,0.7867212842052733,5.3226125305116945e-05
