target_name,model,requested_fpr,metric,n_repeats,mean,sd,median,q025,q975
FILD or FILA ADJUDICATED,combined,0.05,threshold_upper,30,0.4204353765187908,0.1357912131666332,0.4671943966532218,0.2082367378599399,0.6009306210065859
FILD or FILA ADJUDICATED,combined,0.05,expected_fp_upper,30,377.1499999999999,1.156303432516342e-13,377.15000000000003,377.15000000000003,377.15000000000003
FILD or FILA ADJUDICATED,combined,0.05,expected_tn_upper,30,7165.850000000002,1.8500854920261474e-12,7165.85,7165.85,7165.85
FILD or FILA ADJUDICATED,combined,0.05,expected_flags_upper,30,442.76500000000004,5.131934333173019,444.1500000000001,434.3250000000001,451.15000000000003
FILD or FILA ADJUDICATED,combined,0.05,fpr_lower,30,0.05000000000000002,1.4115032135209254e-17,0.05,0.05,0.05
FILD or FILA ADJUDICATED,combined,0.05,tpr_lower,30,0.35575288486474216,0.03218922720135888,0.36428646018988675,0.30310106761205136,0.4086917071593119
FILD or FILA ADJUDICATED,combined,0.05,ppv_lower,30,0.11809370396460522,0.00899444175001053,0.12051909559762919,0.1030441972436072,0.13271890444942966
FILD or FILA ADJUDICATED,combined,0.05,acc_lower,30,0.9332120186252221,0.0006358365866935104,0.9333805830760891,0.9321719827288726,0.9342577237569666
FILD or FILA ADJUDICATED,combined,0.05,npv_lower,30,0.9864465723506864,0.0006679736222886,0.9866232648474474,0.9853546818619738,0.9875460068592737
FILD or FILA ADJUDICATED,combined,0.05,LR+_lower,12,6.427943960967718,0.6014032590323308,6.662344460778142,5.376072023229347,7.251860449834378
FILD or FILA ADJUDICATED,combined,0.05,LR-_lower,12,0.5136019782082547,0.036496333475983675,0.49913760777398125,0.46429994005616776,0.5780767744119935
FILD or FILA ADJUDICATED,combined,0.05,threshold_lower,30,0.4204353765187908,0.1357912131666332,0.4671943966532218,0.2082367378599399,0.6009306210065859
FILD or FILA ADJUDICATED,combined,0.05,expected_fp_lower,30,377.1499999999999,1.156303432516342e-13,377.15000000000003,377.15000000000003,377.15000000000003
FILD or FILA ADJUDICATED,combined,0.05,expected_tn_lower,30,7165.850000000002,1.8500854920261474e-12,7165.85,7165.85,7165.85
FILD or FILA ADJUDICATED,combined,0.05,expected_flags_lower,30,442.76500000000004,5.131934333173019,444.1500000000001,434.3250000000001,451.15000000000003
FILD or FILA ADJUDICATED,combined,0.05,sensitivity,30,0.4316776315789475,0.033762725876138294,0.4407894736842105,0.3761513157894737,0.4868421052631579
FILD or FILA ADJUDICATED,combined,0.05,specificity,30,0.9499999999999997,2.2584051416334807e-16,0.95,0.95,0.95
FILD or FILA ADJUDICATED,combined,0.1,tpr,30,0.5305482456140351,0.033707598847240464,0.5328947368421053,0.4682565789473684,0.5814144736842104
FILD or FILA ADJUDICATED,combined,0.1,ppv,30,0.09652446456155712,0.005564268267343687,0.09697117726269948,0.08622070001221564,0.10486812301734975
FILD or FILA ADJUDICATED,combined,0.1,acc,30,0.8927021875676845,0.000665829113031917,0.892748538011696,0.8914717348927875,0.8937069525666017
FILD or FILA ADJUDICATED,combined,0.1,npv,30,0.989598773242687,0.0007389842785497409,0.989649693089074,0.9882343040784203,0.9907149355287858
FILD or FILA ADJUDICATED,combined,0.1,LR+,2,5.328949334235073,0.2791212008027524,5.328949334235073,5.141449265067544,5.5164494034026035
FILD or FILA ADJUDICATED,combined,0.1,LR-,2,0.5190058503182857,0.03101345545652538,0.5190058503182857,0.49817251689001657,0.539839183746555
FILD or FILA ADJUDICATED,combined,0.1,threshold,30,0.3203195979767545,0.11874132507141266,0.3392261385517177,0.13549656777450284,0.4838134047444581
FILD or FILA ADJUDICATED,combined,0.1,expected_fp,30,754.2999999999998,2.312606865032684e-13,754.3000000000001,754.3000000000001,754.3000000000001
FILD or FILA ADJUDICATED,combined,0.1,expected_tn,30,6788.700000000002,1.8500854920261474e-12,6788.7,6788.7,6788.7
FILD or FILA ADJUDICATED,combined,0.1,expected_flags,30,834.9433333333333,5.1235550247805515,835.3000000000002,825.4750000000001,842.6750000000001
