repeat,split_seed,region,N,cases,carrier_case_N,carrier_control_N,noncarrier_case_N,noncarrier_control_N,MUC5B_OR,fisher_OR,fisher_p
92,628619437,P65_P75,511,9,5,92,4,410,5.570652173913044,5.570652173913044,0.014839625864179137
92,628619437,P85_P95,510,22,10,82,12,406,4.126016260162602,4.126016260162602,0.0022333209671698815
93,1738270339,P00_P50,2552,16,6,483,10,2053,2.550310559006211,2.550310559006211,0.10083650335160838
93,1738270339,P65_P75,511,7,3,95,4,409,3.2289473684210526,3.2289473684210526,0.1328041928183399
93,1738270339,P85_P95,510,15,10,86,5,409,9.511627906976743,9.511627906976743,4.8205050959368815e-05
94,913932989,P00_P50,2552,12,5,521,7,2019,2.768028516588977,2.768028516588977,0.08047466182342627
94,913932989,P65_P75,511,8,4,104,4,399,3.8365384615384617,3.8365384615384617,0.06575840487902737
94,913932989,P85_P95,510,17,8,89,9,404,4.034956304619226,4.034956304619226,0.007025474555911622
95,1793031327,P00_P50,2552,18,7,484,11,2050,2.6953418482344103,2.6953418482344103,0.0630035767502737
95,1793031327,P65_P75,511,9,3,106,6,396,1.8679245283018868,1.8679245283018868,0.4098999549863348
95,1793031327,P85_P95,510,13,5,94,8,403,2.679521276595745,2.679521276595745,0.14481286360148984
96,842850846,P00_P50,2552,16,6,509,10,2027,2.389390962671906,2.389390962671906,0.110870191930487
96,842850846,P65_P75,511,11,6,107,5,393,4.407476635514018,4.407476635514018,0.017973350587208833
96,842850846,P85_P95,510,20,11,104,9,386,4.536324786324786,4.536324786324786,0.0012993289342353878
97,1889472318,P00_P50,2552,15,6,495,9,2042,2.7501683501683503,2.7501683501683503,0.09319475797140807
97,1889472318,P65_P75,511,9,5,89,4,413,5.800561797752809,5.800561797752809,0.01293175987488376
97,1889472318,P85_P95,510,13,5,103,8,394,2.3907766990291264,2.3907766990291264,0.1613246192430406
98,1714281730,P00_P50,2552,14,5,477,9,2061,2.40041928721174,2.40041928721174,0.15943280613624328
98,1714281730,P65_P75,511,9,6,96,3,406,8.458333333333334,8.458333333333334,0.00276685601373444
98,1714281730,P85_P95,510,21,10,87,11,402,4.200626959247649,4.200626959247649,0.002221750668350724
99,847967612,P00_P50,2552,13,6,500,7,2039,3.4954285714285716,3.4954285714285716,0.028515687453934704
99,847967612,P65_P75,511,8,5,106,3,397,6.2421383647798745,6.2421383647798745,0.01421799295744978
99,847967612,P85_P95,510,14,8,95,6,401,5.628070175438596,5.628070175438596,0.0022074306364945322
100,728082582,P00_P50,2552,13,2,484,11,2055,0.7719759579263712,0.7719759579263712,1.0
100,728082582,P65_P75,511,11,6,86,5,414,5.776744186046511,5.776744186046511,0.00625515976275178
100,728082582,P85_P95,510,22,13,93,9,395,6.135005973715651,6.135005973715651,6.501530280985132e-05
