n_knots,logistic_C,requested_clinical_FPR,lambda_LR_Z,log_lambda_LR_Z,clinical_FPR,joint_same_lambda_FPR,clinical_sensitivity,joint_same_lambda_sensitivity,n_flips,n_upward_flips,n_downward_flips,overall_flip_fraction,control_flip_fraction,case_flip_fraction,median_boundary_distance_flips,q90_boundary_distance_flips,q95_boundary_distance_flips,max_boundary_distance_flips,max_flip_distance_minus_abs_observed_logLR_G,flip_fraction_outside_b_delta_0.05,flip_fraction_outside_b_delta_0.01,flip_fraction_outside_b_delta_0.005
6,0.3,0.1,1.2511414556093865,0.2240562991206746,0.10004794630014384,0.12985456288956368,0.5317460317460317,0.6150793650793651,1406,900,506,0.11013629954566818,0.1090778328272335,0.1626984126984127,0.20952269180946057,0.5629135200845374,0.6799424257361271,3.325705890637072,-0.00018374371983481685,0.0021337126600284497,0.0021337126600284497,0.0021337126600284497
6,1.0,0.005,27.104256514602028,3.299690782511416,0.0050343615151030845,0.005114272015342816,0.29365079365079366,0.29365079365079366,3,2,1,0.00023499921666927777,0.0002397315007191945,0.0,0.14678303880211185,0.20873993903023963,0.2164845515587556,0.22422916408727156,-0.05536014161774791,0.0,0.0,0.0
6,1.0,0.01,9.813845277748223,2.28379417208065,0.010068723030206169,0.011347291034041872,0.29365079365079366,0.30952380952380953,40,30,10,0.0031333228889237038,0.002876778008630334,0.015873015873015872,0.49425451077598503,0.7890731638881121,0.8648736293454495,1.2401257745180376,-0.0025914933070789736,0.05,0.025,0.025
6,1.0,0.02,4.2828377581070365,1.45461581748312,0.020057535560172608,0.021016461563049385,0.3412698412698413,0.3611111111111111,143,80,63,0.01120162932790224,0.010388365031165095,0.051587301587301584,0.2679300272610994,0.7497186499003015,0.9884581753980182,2.069304129115568,-0.0028276069306474305,0.06993006993006994,0.06293706293706294,0.027972027972027972
6,1.0,0.05,1.8932697181422373,0.63830534392771,0.05002397315007192,0.08318683074956049,0.44047619047619047,0.5277777777777778,827,632,195,0.06478145072849757,0.06288956368866869,0.15873015873015872,0.5112673264877352,0.6565370591978086,0.6823416916525207,2.8856146026709775,-0.00016975448832334816,0.008464328899637243,0.008464328899637243,0.008464328899637243
6,1.0,0.1,1.2742516800933263,0.2423590887329866,0.10004794630014384,0.13105322039315967,0.5317460317460317,0.6190476190476191,1394,902,492,0.10919630267899107,0.10819881732459645,0.15873015873015872,0.21982129241449008,0.5986624851201375,0.7180435265877898,3.281560857865701,-0.0005086774087085244,0.005021520803443328,0.00430416068866571,0.00430416068866571
6,3.0,0.005,23.788407727077164,3.1691983917292883,0.0050343615151030845,0.005274093015822279,0.29365079365079366,0.29365079365079366,5,4,1,0.00039166536111546297,0.0003995525011986575,0.0,0.17875793632793036,0.22783693389283668,0.2417882090996339,0.2557394843064311,-0.019982089199779757,0.0,0.0,0.0
6,3.0,0.01,8.793206753683503,2.1739794635610634,0.010068723030206169,0.011986575035959726,0.29365079365079366,0.3134920634920635,49,39,10,0.003838320538931537,0.003516062010548186,0.01984126984126984,0.48032443426354976,0.852108334389184,0.8934242496954128,1.250958412474656,-0.007576141750273019,0.02040816326530612,0.02040816326530612,0.0
6,3.0,0.02,4.1902653055946235,1.432764050687165,0.020057535560172608,0.02077673006233019,0.3412698412698413,0.3611111111111111,150,82,68,0.011749960833463888,0.010947738532843216,0.051587301587301584,0.26420080804812707,0.7221526616361557,0.8987275559826493,1.9921738253485544,-0.005547622254094109,0.05333333333333334,0.03333333333333333,0.006666666666666667
6,3.0,0.05,1.9806380707915285,0.6834190507680148,0.05002397315007192,0.07167971871503916,0.44047619047619047,0.503968253968254,671,479,192,0.05256149146169513,0.050902988652708966,0.1349206349206349,0.4390574443960358,0.6692525515986993,0.6910478813702894,2.7415188252677045,-0.0003357847455229823,0.013412816691505217,0.013412816691505217,0.011922503725782414
6,3.0,0.1,1.3406672238300064,0.29316741826904175,0.10004794630014384,0.1311331308933994,0.5396825396825397,0.6190476190476191,1359,884,475,0.10645464515118283,0.10540194981620585,0.15873015873015872,0.25664308286037557,0.6434324061556785,0.7359089178997388,3.131770457766678,-0.00022084293375229658,0.005886681383370125,0.005886681383370125,0.005886681383370125
