target_name,repeat,split_seed,model,bin,n,cases,mean_pred,obs_rate,obs_rate_lo,obs_rate_hi,prob_min,prob_max
NONFIBROTIC ILD ADJUDICATED,20,849958185,zebra,3,769,0,0.41471984406702944,0.0,0.0,0.004970565148712315,0.37973052382202055,0.4516542026555688
NONFIBROTIC ILD ADJUDICATED,20,849958185,zebra,4,770,0,0.4972866544092167,0.0,0.0,0.004964141914221508,0.451752035415746,0.5481119085210974
NONFIBROTIC ILD ADJUDICATED,20,849958185,zebra,5,769,3,0.6069005629374569,0.0039011703511053317,0.001327618000260774,0.011406505807889416,0.5481119570964046,0.6696196037942969
NONFIBROTIC ILD ADJUDICATED,20,849958185,zebra,6,769,2,0.7323937788436173,0.002600780234070221,0.0007135177289523901,0.009432753192718508,0.6697352548132127,0.7922254832044645
NONFIBROTIC ILD ADJUDICATED,20,849958185,zebra,7,770,3,0.8459494302058049,0.003896103896103896,0.0013258926936253902,0.011391775387498288,0.7922355857256254,0.898635575652675
NONFIBROTIC ILD ADJUDICATED,20,849958185,zebra,8,769,1,0.9490863704837893,0.0013003901170351106,0.0002295876800841234,0.007328830355107483,0.8986589376850554,0.985485854363619
NONFIBROTIC ILD ADJUDICATED,20,849958185,zebra,9,770,7,0.9965372985313999,0.00909090909090909,0.004410478976495486,0.01864522399383109,0.9856268735103083,1.0
NONFIBROTIC ILD ADJUDICATED,20,849958185,genomic,0,770,2,0.0029679046065182926,0.0025974025974025974,0.0007125907061236786,0.009420568652699277,0.0015597447565298878,0.0035928488546611544
NONFIBROTIC ILD ADJUDICATED,20,849958185,genomic,1,769,1,0.004081181243700556,0.0013003901170351106,0.0002295876800841234,0.007328830355107483,0.0035930233043025774,0.004552658522488617
NONFIBROTIC ILD ADJUDICATED,20,849958185,genomic,2,770,4,0.005056944363324449,0.005194805194805195,0.0020219574690050306,0.013280219334419372,0.004553114866806096,0.005600398421218862
NONFIBROTIC ILD ADJUDICATED,20,849958185,genomic,3,769,2,0.006192350386409089,0.002600780234070221,0.0007135177289523901,0.009432753192718508,0.005601711971731515,0.00682310284018453
NONFIBROTIC ILD ADJUDICATED,20,849958185,genomic,4,770,1,0.0076005975385570615,0.0012987012987012987,0.00022928946639889794,0.007319361170123334,0.006826740046377262,0.008560040787992787
NONFIBROTIC ILD ADJUDICATED,20,849958185,genomic,5,769,2,0.009936044733809114,0.002600780234070221,0.0007135177289523901,0.009432753192718508,0.008562744229660118,0.011761972464739518
NONFIBROTIC ILD ADJUDICATED,20,849958185,genomic,6,769,3,0.018085061648181702,0.0039011703511053317,0.001327618000260774,0.011406505807889416,0.011790660083877256,0.032946572239051536
NONFIBROTIC ILD ADJUDICATED,20,849958185,genomic,7,770,0,0.046274350242875295,0.0,0.0,0.004964141914221508,0.03297142573112731,0.05760077359748359
NONFIBROTIC ILD ADJUDICATED,20,849958185,genomic,8,769,1,0.07123881594825934,0.0013003901170351106,0.0002295876800841234,0.007328830355107483,0.057608944723840184,0.08766331785892223
NONFIBROTIC ILD ADJUDICATED,20,849958185,genomic,9,770,0,0.12857005593894716,0.0,0.0,0.004964141914221508,0.08787168984129118,0.3957730687305534
NONFIBROTIC ILD ADJUDICATED,20,849958185,combined,0,770,1,0.00010337214064317992,0.0012987012987012987,0.00022928946639889794,0.007319361170123334,4.327489143182796e-05,0.00013740482573966608
NONFIBROTIC ILD ADJUDICATED,20,849958185,combined,1,769,1,0.00017303476892294384,0.0013003901170351106,0.0002295876800841234,0.007328830355107483,0.00013742316104961127,0.00021104212301564993
NONFIBROTIC ILD ADJUDICATED,20,849958185,combined,2,770,0,0.00025805243557498525,0.0,0.0,0.004964141914221508,0.00021114593402538623,0.0003124269981598061
NONFIBROTIC ILD ADJUDICATED,20,849958185,combined,3,769,1,0.0003820435871070619,0.0013003901170351106,0.0002295876800841234,0.007328830355107483,0.000312594373153682,0.00046606331922935363
NONFIBROTIC ILD ADJUDICATED,20,849958185,combined,4,770,0,0.0005788865320475903,0.0,0.0,0.004964141914221508,0.00046694971858445743,0.0007066141528756356
NONFIBROTIC ILD ADJUDICATED,20,849958185,combined,5,769,1,0.0009051277691209861,0.0013003901170351106,0.0002295876800841234,0.007328830355107483,0.0007070091562001807,0.0011468180387268962
NONFIBROTIC ILD ADJUDICATED,20,849958185,combined,6,769,5,0.0015664598818871517,0.006501950585175552,0.002780348414515579,0.015129481166593194,0.0011469125408626506,0.0020916715821513985
NONFIBROTIC ILD ADJUDICATED,20,849958185,combined,7,770,4,0.003286875482551549,0.005194805194805195,0.0020219574690050306,0.013280219334419372,0.0020918262068073262,0.005086463397044039
NONFIBROTIC ILD ADJUDICATED,20,849958185,combined,8,769,0,0.008990816105553563,0.0,0.0,0.004970565148712315,0.005091667373474942,0.015190738294316651
NONFIBROTIC ILD ADJUDICATED,20,849958185,combined,9,770,3,0.07490791798425372,0.003896103896103896,0.0013258926936253902,0.011391775387498288,0.015192020429207448,0.7204523126600794
NONFIBROTIC ILD ADJUDICATED,21,1253658352,zebra,0,770,0,0.2323959836748984,0.0,0.0,0.004964141914221508,0.11693488945217027,0.2620496868382658
NONFIBROTIC ILD ADJUDICATED,21,1253658352,zebra,1,769,0,0.2885206544102801,0.0,0.0,0.004970565148712315,0.2621427438396359,0.3144316485399747
NONFIBROTIC ILD ADJUDICATED,21,1253658352,zebra,2,770,0,0.34654901756991907,0.0,0.0,0.004964141914221508,0.31447837490045416,0.37821837889202076
NONFIBROTIC ILD ADJUDICATED,21,1253658352,zebra,3,769,0,0.4140202511298866,0.0,0.0,0.004970565148712315,0.3782556368826368,0.4505792844027786
NONFIBROTIC ILD ADJUDICATED,21,1253658352,zebra,4,770,1,0.4954920117062465,0.0012987012987012987,0.00022928946639889794,0.007319361170123334,0.4505826354187552,0.5449975885998207
NONFIBROTIC ILD ADJUDICATED,21,1253658352,zebra,5,769,1,0.6052906641001214,0.0013003901170351106,0.0002295876800841234,0.007328830355107483,0.5450020407769885,0.6652446793833273
NONFIBROTIC ILD ADJUDICATED,21,1253658352,zebra,6,769,2,0.7313009283944008,0.002600780234070221,0.0007135177289523901,0.009432753192718508,0.6653503127292941,0.7922523496135381
NONFIBROTIC ILD ADJUDICATED,21,1253658352,zebra,7,770,2,0.8491816165650723,0.0025974025974025974,0.0007125907061236786,0.009420568652699277,0.792265339786157,0.9025689321917897
NONFIBROTIC ILD ADJUDICATED,21,1253658352,zebra,8,769,2,0.9521928843400411,0.002600780234070221,0.0007135177289523901,0.009432753192718508,0.9029687037824873,0.9861211849356301
NONFIBROTIC ILD ADJUDICATED,21,1253658352,zebra,9,770,8,0.9966532140645964,0.01038961038961039,0.005273784940225151,0.020366426752402144,0.9861373515718582,1.0
NONFIBROTIC ILD ADJUDICATED,21,1253658352,genomic,0,770,1,0.0,0.0012987012987012987,0.00022928946639889794,0.007319361170123334,0.0,0.0
NONFIBROTIC ILD ADJUDICATED,21,1253658352,genomic,1,769,2,0.0,0.002600780234070221,0.0007135177289523901,0.009432753192718508,0.0,0.0
NONFIBROTIC ILD ADJUDICATED,21,1253658352,genomic,2,770,1,0.33506493506504587,0.0012987012987012987,0.00022928946639889794,0.007319361170123334,0.0,1.0
NONFIBROTIC ILD ADJUDICATED,21,1253658352,genomic,3,769,2,1.0,0.002600780234070221,0.0007135177289523901,0.009432753192718508,1.0,1.0
NONFIBROTIC ILD ADJUDICATED,21,1253658352,genomic,4,770,0,1.0,0.0,0.0,0.004964141914221508,1.0,1.0
NONFIBROTIC ILD ADJUDICATED,21,1253658352,genomic,5,769,1,1.0,0.0013003901170351106,0.0002295876800841234,0.007328830355107483,1.0,1.0
NONFIBROTIC ILD ADJUDICATED,21,1253658352,genomic,6,769,1,1.0,0.0013003901170351106,0.0002295876800841234,0.007328830355107483,1.0,1.0
NONFIBROTIC ILD ADJUDICATED,21,1253658352,genomic,7,770,2,1.0,0.0025974025974025974,0.0007125907061236786,0.009420568652699277,1.0,1.0
NONFIBROTIC ILD ADJUDICATED,21,1253658352,genomic,8,769,3,1.0,0.0039011703511053317,0.001327618000260774,0.011406505807889416,1.0,1.0
NONFIBROTIC ILD ADJUDICATED,21,1253658352,genomic,9,770,3,1.0,0.003896103896103896,0.0013258926936253902,0.011391775387498288,1.0,1.0
NONFIBROTIC ILD ADJUDICATED,21,1253658352,combined,0,770,3,0.0,0.003896103896103896,0.0013258926936253902,0.011391775387498288,0.0,0.0
NONFIBROTIC ILD ADJUDICATED,21,1253658352,combined,1,769,1,0.0,0.0013003901170351106,0.0002295876800841234,0.007328830355107483,0.0,0.0
NONFIBROTIC ILD ADJUDICATED,21,1253658352,combined,2,770,0,0.0,0.0,0.0,0.004964141914221508,0.0,0.0
NONFIBROTIC ILD ADJUDICATED,21,1253658352,combined,3,769,1,0.0,0.0013003901170351106,0.0002295876800841234,0.007328830355107483,0.0,0.0
NONFIBROTIC ILD ADJUDICATED,21,1253658352,combined,4,770,1,0.0,0.0012987012987012987,0.00022928946639889794,0.007319361170123334,0.0,0.0
NONFIBROTIC ILD ADJUDICATED,21,1253658352,combined,5,769,1,0.0,0.0013003901170351106,0.0002295876800841234,0.007328830355107483,0.0,0.0
NONFIBROTIC ILD ADJUDICATED,21,1253658352,combined,6,769,1,0.0,0.0013003901170351106,0.0002295876800841234,0.007328830355107483,0.0,0.0
NONFIBROTIC ILD ADJUDICATED,21,1253658352,combined,7,770,2,0.0,0.0025974025974025974,0.0007125907061236786,0.009420568652699277,0.0,0.0
NONFIBROTIC ILD ADJUDICATED,21,1253658352,combined,8,769,1,3.22609577768027e-225,0.0013003901170351106,0.0002295876800841234,0.007328830355107483,0.0,2.4808676240716307e-222
